Switch_1_server_nou,192.0.0.140
Switch_2_server_nou,192.0.0.105
Switch_0_Oficines_Noves,192.168.10.130
Switch_1_Oficines_Noves,192.168.10.131
Switch_2_Oficines_Noves,192.168.10.133
Switch_3_Oficines_Noves,192.168.10.132
ZYXel_Oficines_Velles,192.168.10.140
Switch_Pasqual,192.168.10.143
Switch_3_server_nou,192.0.0.127
Switch_A_formadora_de_caixes,192.0.0.119
Switch_4_server_nou,192.168.0.239
Switch_D-link_compressors,192.168.10.136
Switch_HP_compressors,192.168.10.135
Switch_Depuradora,192.168.10.137
Switch_B_oficines_velles,192.168.10.145
Switch_B_formadora_de_caixes,192.168.10.141
Switch_menjador_vell,192.168.10.142
Switch_capçalera,192.168.10.138
Switch_A_Server_nou,192.0.0.129
Switch_5_Server_nou,192.168.10.146
Router_Telefonica,192.168.20.100
Firewall,192.0.0.100
Cam_P2_Escales,192.168.60.10
Cam_P1_Impressora,192.168.60.11
Cam_Recepcio_1,192.168.60.12
Cam_P2_Menjador,192.168.60.13
Cam_Botiga_2,192.168.60.14
Cam_Exteriror_Entrada,192.168.60.15
Cam_BOXNORMAL,192.168.60.62
Cam_Grabador_Sala,192.168.60.5
Cam_Escales_Entrada,192.168.60.16
Cam_Exterior_valla,192.168.60.17
Cam_Entrada_personal,192.168.60.18
Cam_Pas_Sanitari,192.168.60.19
Cam_Etiquetatge,192.168.60.20
Cam_Avantcambra,192.168.60.21
Cam_Planta_Primera,192.168.60.22
Cam_Envasat_2,192.168.60.30
Cam_Molls,192.168.60.23
Cam_Magatzem04,192.168.60.24
Cam_SDesfer_Sortida,192.168.60.25
Cam_Sala_Desfer_Fons,192.168.60.26
Cam_Sala_Desfer_Entrada,192.168.60.27
Cam_Magatzem,192.168.60.28
Cam_Magatzem04,192.168.60.29
Cam_Exterior_Pasarela,192.168.60.31
Cam_P1_Rebedor,192.168.60.37
Cam_Sala_Blanca_2,192.168.60.32
Cam_Sala_Blanca_1,192.168.60.33
Cam_Producció,192.168.60.34
Cam_Molls_Congelats,192.168.60.40
Cam_Botiga_1,192.168.60.35
Cam_Passarel-la,192.168.60.36
Cam_P1_Escales,192.168.60.38
Cam_ENTRADA_CARNISSERS,192.168.60.52
Cam_ENTRADA_OFICINES,192.168.60.53
Cam_EXTERIOR_BARRERES,192.168.60.54
Cam_PASSANITARI,192.168.60.63
Cam_Recepcio_2,192.168.60.39
Cam_DESACTIVAT,192.168.60.56
Cam_QUARTEIG,192.168.60.064
Cam_MOLLS_PASCUAL,192.168.60.68
Cam_BOXHALAL,192.168.60.58
Cam_QUADRES,192.168.60.60
Cam_FAENADO2,192.168.60.57
Cam_FAENADO1,192.168.60.61
Cam_PREFAENADO,192.168.60.59
Cam_ENTRADA_CAMIONS,192.168.60.55
Cam_Envasat_barra,192.168.60.41
Cam_EXTERIOR_MOLLS...,192.168.60.065
Cam_PESSATGE,192.168.60.066
Cam_S.VELLA_INTERI...,192.168.60.067
Cam_RAMPA_QUADRES,192.168.60.51
Cam_CONGELADOR,192.168.60.157
Cam_Grabador_Escorxador,192.168.60.150
Cam_Gravador_Escorxador,192.169.60.100
Cam_Etiquetatge_Nou_(Prova),192.168.60.156
Cam_Cam_Dep_1,192.168.60.151
Cam_Cam_Dep_2,192.168.60.152
Cam_Cam_Dep_3,192.168.60.153
Cam_Cam_Dep_4,192.168.60.154
Cam_Cam_Dep_5,192.168.60.155
Cam_SonicWall,192.168.60.1
Cam_Pati_2,192.168.60.70
Cam_Pati_Taller,192.168.60.71
RACK_OFICINES,192.168.30.22
Tunel_sala_de_desfer,192.168.30.23
Sala_de_Desfer,192.168.30.25
Escorxador_Ricard,192.168.30.35
Oficines_Velles,192.168.30.29
Pascual,192.168.30.31
Depuradora_/_Pati,192.168.30.33
Magatzem,192.168.30.41
Botiga,192.168.30.37
Muntacarga,192.168.30.39
NO_LOCALITZADA,192.168.30.51
Despatx_Produccio,192.168.30.45
Magatzem_Envasat,192.168.30.47
Etiquetatge_F.Sostre,192.168.30.49
RACK_OFICINES,192.168.30.21
Tunel_sala_de_desfer,192.168.30.24
Sala_de_Desfer,192.168.30.26
Escorxador_Ricard,192.168.30.36
Oficines_Velles,192.168.30.30
Pascual,192.168.30.32
Depuradora_/_Pati,192.168.30.34
Magatzem,192.168.30.42
Botiga,192.168.30.38
Muntacarga,192.168.30.40
NO_LOCALITZADA,192.168.30.52
Despatx_Produccio,192.168.30.46
Magatzem_Envasat,192.168.30.48
Etiquetatge_F.Sostre,192.168.30.50
Congelats,192.0.0.98
Expedicions,192.0.0.92
P1_Prancipal,192.0.0.84
P1_Annex,192.0.0.82
P2,192.0.0.83
Formadora_de_caixes,192.0.0.93
